timestamp,path_img,dofw,weekend
2023-08-16 22:46:38.009792,img/batununggal/batununggal-8-16 22-46-38.png,2,0
2023-08-16 22:46:53.509238,img/batununggal_barat/batununggal_barat-8-16 22-46-53.png,2,0
2023-08-16 22:47:09.090140,img/toha/toha-8-16 22-47-9.png,2,0
2023-08-16 22:47:24.566245,img/toha_barat/toha_barat-8-16 22-47-24.png,2,0
2023-08-16 22:47:39.984344,img/toha_selatan/toha_selatan-8-16 22-47-39.png,2,0
2023-08-16 22:47:55.472945,img/toha_utara/toha_utara-8-16 22-47-55.png,2,0
2023-08-16 22:48:10.961453,img/toha_timur/toha_timur-8-16 22-48-10.png,2,0
2023-08-16 22:48:26.479789,img/cibaduyut/cibaduyut-8-16 22-48-26.png,2,0
2023-08-16 22:48:41.954633,img/kopo/kopo-8-16 22-48-41.png,2,0
2023-08-16 22:48:57.413813,img/pasirkoja_selatan/pasirkoja_selatan-8-16 22-48-57.png,2,0
2023-08-16 22:49:13.015851,img/pasirkoja_barat/pasirkoja_barat-8-16 22-49-13.png,2,0
2023-08-16 22:49:28.456903,img/pasirkoja_utara/pasirkoja_utara-8-16 22-49-28.png,2,0
2023-08-16 22:49:43.914810,img/cibeureum/cibeureum-8-16 22-49-43.png,2,0
2023-08-16 23:20:11.642239,img/gedebage_timur/gedebage_timur-8-16 23-20-11.png,2,0
2023-08-16 23:20:26.839546,img/gedebage_barat/gedebage_barat-8-16 23-20-26.png,2,0
2023-08-16 23:20:42.283717,img/gedebage_selatan/gedebage_selatan-8-16 23-20-42.png,2,0
2023-08-16 23:20:57.697516,img/gedebage_utara/gedebage_utara-8-16 23-20-57.png,2,0
2023-08-16 23:21:13.199820,img/samsat/samsat-8-16 23-21-13.png,2,0
2023-08-16 23:21:28.618599,img/samsat_barat/samsat_barat-8-16 23-21-28.png,2,0
2023-08-16 23:21:44.073178,img/samsat_selatan/samsat_selatan-8-16 23-21-44.png,2,0
2023-08-16 23:21:59.502009,img/samsat_utara/samsat_utara-8-16 23-21-59.png,2,0
2023-08-16 23:22:14.891563,img/buahbatu/buahbatu-8-16 23-22-14.png,2,0
2023-08-16 23:22:30.347889,img/buahbatu_timur/buahbatu_timur-8-16 23-22-30.png,2,0
2023-08-16 23:22:45.811909,img/buahbatu_selatan/buahbatu_selatan-8-16 23-22-45.png,2,0
2023-08-16 23:23:01.201551,img/buahbatu_barat/buahbatu_barat-8-16 23-23-1.png,2,0
2023-08-16 23:23:16.602003,img/buahbatu_utara/buahbatu_utara-8-16 23-23-16.png,2,0
2023-08-16 23:23:32.009741,img/batununggal/batununggal-8-16 23-23-32.png,2,0
2023-08-16 23:23:47.494404,img/batununggal_barat/batununggal_barat-8-16 23-23-47.png,2,0
2023-08-16 23:24:02.971402,img/toha/toha-8-16 23-24-2.png,2,0
2023-08-16 23:24:18.421308,img/toha_barat/toha_barat-8-16 23-24-18.png,2,0
2023-08-16 23:24:33.846666,img/toha_selatan/toha_selatan-8-16 23-24-33.png,2,0
2023-08-16 23:24:49.342660,img/toha_utara/toha_utara-8-16 23-24-49.png,2,0
2023-08-16 23:25:04.754661,img/toha_timur/toha_timur-8-16 23-25-4.png,2,0
2023-08-16 23:25:20.152096,img/cibaduyut/cibaduyut-8-16 23-25-20.png,2,0
2023-08-16 23:25:35.594480,img/kopo/kopo-8-16 23-25-35.png,2,0
